NO.,분류,계정,리전,서비스명,이름,환경,핵심/중요/일반,운영 체제,크기,개인 IP 주소,공용 IP 주소,디스크,WEB/WAS/DB/ETC
31,AWS,itopsprod,ap-northeast-2,equip,msvc-prod-ec2-instance-equip-check-2a,운영,중요,Windows Server,m6i.2xlarge,172.29.16.111,,150,WEB/WAS
32,AWS,itopsprod,ap-northeast-2,eai,eai-prod-ec2-instance-app-2a,운영,핵심,Linux,c6i.2xlarge,172.29.190.8,,288,APP
33,AWS,itopsprod,ap-northeast-2,eai,eai-prod-ec2-instance-flexgw-2a,운영,핵심,Linux,c6i.xlarge,172.29.190.9,,160,APP
34,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-thumbnail-2a,운영,중요,Windows Server,g4dn.xlarge,172.29.128.91,,1300,APP
35,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-interface-2a,운영,중요,Windows Server,m6i.2xlarge,172.29.128.10,,1000,APP
36,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dswym-2c,검증,일반,Linux,r5a.large,172.28.129.245,,100,WEB/WAS
37,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dspace-cas-2c,검증,일반,Linux,r5a.xlarge,172.28.129.173,,100,APP
38,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dspace-non-cas-2c,검증,일반,Linux,r5a.large,172.28.129.85,,100,APP
39,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dspace-index-2c,검증,일반,Linux,r5a.xlarge,172.28.129.145,,350,APP
40,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-auto_vue-2c,검증,일반,Windows Server,g4dn.xlarge,172.28.129.200,,200,APP
41,AWS,itopsdevelop,ap-northeast-2,mes,mes-dev-ec2-instance-was-2c,개발,일반,Windows Server,m5.large,172.28.17.239,,60,WEB/WAS
42,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dswym-2a,검증,일반,Linux,r5a.xlarge,172.28.128.48,,110,WEB/WAS
43,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dswym-index-2a,검증,일반,Linux,r5a.large,172.28.128.8,,150,APP
44,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dspace-index-2a,검증,일반,Linux,r5a.large,172.28.128.6,,350,APP
45,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dspace-cas-2a,검증,일반,Linux,r5a.xlarge,172.28.128.50,,100,APP
46,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-3dspace-non-cas-2a,검증,일반,Linux,r5a.large,172.28.128.99,,120,APP
47,AWS,itopsdevelop,ap-northeast-2,mes,mes-dev-ec2-instance-was-2a,개발,일반,Windows Server,m5.large,172.28.16.195,,160,WEB/WAS
48,AWS,itopsdevelop,ap-northeast-2,homepage,kdnavien-dev-ec2-instance-svr-2a,개발,일반,Windows Server,m5.large,172.28.18.5,3.39.186.99,550,WEB/WAS
49,AWS,itopsdevelop,ap-northeast-2,ehs,ehs-dev-ec2-instance-oz-report-2a,개발,일반,Linux,m5a.large,172.28.140.210,,150,APP
50,AWS,itopsdevelop,ap-northeast-2,ehs,ehs-dev-ec2-instance-was-2a,개발,일반,Linux,m5a.large,172.28.140.29,,70,WEB/WAS
51,AWS,itopsdevelop,ap-northeast-2,kess,kess-dev-ec2-instance-api-server,개발,일반,Linux,t2.micro,172.28.20.124,,10,APP
52,AWS,itopsdevelop,ap-northeast-2,kvrs,kvrs-dev-ec2-instance-was-2a,개발,일반,Linux,m5a.large,172.28.22.75,,300,WEB/WAS
53,AWS,itopsdevelop,ap-northeast-2,cic,cic-dev-ec2-instance-consult-was-server-2a,개발,일반,Linux,m5.large,172.28.34.14,,400,WEB/WAS
54,AWS,itopsdevelop,ap-northeast-2,cic,cic-dev-ec2-instance-service-install-was-server-2a,개발,일반,Linux,m5.large,172.28.35.25,,400,WEB/WAS
55,AWS,itopsdevelop,ap-northeast-2,itsm,itsm-dev-ec2-instance-web,개발,일반,Linux,c5.xlarge,172.28.118.20,,500,WEB/WAS
56,AWS,itopsdevelop,ap-northeast-2,itsm,itsm-dev-ec2-instance-db,개발,일반,Linux,t3.large,172.28.118.108,,500,DB
57,AWS,itopsdevelop,ap-northeast-2,srm,srm-dev-ec2-instance-was-2a,개발,일반,Linux,m5.xlarge,172.28.52.139,,400,WEB/WAS
58,AWS,itopsdevelop,ap-northeast-2,srm,srm-dev-ec2-instance-oz-report-2a,개발,일반,Linux,m6g.medium,172.28.52.11,,200,APP
59,AWS,itopsdevelop,ap-northeast-2,wms,wms-dev-ec2-instance-woongjin,개발,일반,Linux,t3.medium,172.28.2.71,,50,APP
60,AWS,itopsdevelop,ap-northeast-2,skm,skm-dev-ec2-instance-batch,개발,일반,Linux,t3.medium,172.28.169.179,,100,APP
61,AWS,itopsdevelop,ap-northeast-2,nias,nias-dev-ec2-asg-nias,개발,일반,Linux,t3.small,172.28.180.20,,8,WEB/WAS
62,AWS,itopsdevelop,ap-northeast-2,nias,nias-dev-ec2-instance-admin-page-2a,개발,일반,Linux,t3.small,172.28.180.8,,30,WEB/WAS
63,AWS,itopsdevelop,ap-northeast-2,glcicuz,glcicuz-dev-ec2-instance-was-2a,개발,일반,Linux,t3.medium,172.28.35.78,,30,WEB/WAS
64,AWS,itopsdevelop,ap-northeast-2,mes,mes-dev-ec2-instance-db-2a,개발,일반,Windows Server,r6i.xlarge,172.28.16.158,,2151,DB
65,AWS,itopsdevelop,ap-northeast-2,plm,AWS Application Migration Service Replication Server,개발,일반,Windows Server,c6i.xlarge,172.28.128.60,,2243,APP
66,AWS,itopsdevelop,ap-northeast-2,plm,plm-qa-ec2-instance-interface-2a,검증,일반,Windows Server,m6i.2xlarge,172.28.128.107,,600,APP
